Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,132.789993,134.919998,132.520004,134.580002,131.971329,1276400
2017-04-21,134.869995,135.710007,134.589996,134.869995,132.255707,2193400
2017-04-24,138.789993,142.820007,138.630005,139.759995,137.050919,4098900
2017-04-25,138.910004,140.990005,138.720001,139.259995,136.560608,2972700
2017-04-26,139.500000,139.899994,139.009995,139.139999,136.442932,1938600
2017-04-27,139.289993,140.210007,139.029999,139.419998,136.717499,1230300
2017-04-28,139.339996,139.619995,137.910004,138.089996,135.413300,1530300
2017-05-01,137.880005,138.080002,136.580002,137.649994,134.981827,1626800
2017-05-02,138.460007,138.919998,136.660004,137.220001,134.560150,1675300
2017-05-03,137.059998,138.080002,136.479996,137.949997,135.275986,1223000
2017-05-04,138.250000,138.559998,137.429993,138.270004,135.589798,1541600
2017-05-05,138.850006,139.639999,138.389999,139.600006,136.894028,924600
2017-05-08,139.339996,139.779999,139.100006,139.539993,136.835175,874000
2017-05-09,139.419998,139.789993,138.589996,138.949997,136.256607,792200
2017-05-10,138.869995,139.259995,137.600006,138.300003,135.619217,893300
2017-05-11,138.339996,138.339996,136.470001,138.000000,135.325027,1084900
2017-05-12,137.720001,137.979996,137.119995,137.380005,134.717056,961000
2017-05-15,137.539993,138.190002,137.360001,137.690002,135.021042,776800
2017-05-16,138.050003,138.070007,137.009995,137.720001,135.050476,772700
2017-05-17,137.720001,137.720001,134.710007,134.779999,132.167450,1625800
2017-05-18,134.960007,136.229996,133.899994,135.350006,132.726410,1216400
2017-05-19,137.179993,137.820007,135.309998,137.000000,134.344406,1085300
2017-05-22,137.520004,138.039993,137.190002,137.860001,135.187744,817700
2017-05-23,138.000000,139.050003,137.500000,138.779999,136.089905,1064100
2017-05-24,139.300003,139.710007,138.490005,139.520004,136.815567,862100
2017-05-25,139.979996,140.729996,139.160004,140.500000,137.776581,891200
2017-05-26,140.059998,140.779999,140.029999,140.369995,137.649078,693900
2017-05-30,140.110001,141.419998,139.789993,141.100006,138.364944,972500
2017-05-31,140.979996,141.490005,140.289993,141.220001,138.482605,1223600
2017-06-01,143.160004,143.690002,142.000000,143.339996,140.561523,1343400
2017-06-02,143.559998,144.860001,143.139999,143.610001,140.826279,1084000
2017-06-05,143.639999,144.369995,143.539993,144.020004,141.228333,1490900
2017-06-06,143.690002,144.110001,142.789993,142.979996,140.208496,963300
2017-06-07,143.110001,144.710007,142.720001,144.570007,141.767700,1513600
2017-06-08,144.570007,144.960007,143.100006,144.589996,141.787277,1450400
2017-06-09,144.690002,145.380005,143.809998,144.800003,141.993225,1140500
2017-06-12,144.800003,145.600006,143.470001,144.720001,141.914780,1139100
2017-06-13,145.119995,146.669998,144.679993,146.419998,143.581818,1175400
2017-06-14,146.960007,147.000000,145.979996,146.740005,143.895630,1259800
2017-06-15,145.289993,148.229996,145.250000,148.210007,145.337128,1104200
2017-06-16,148.570007,149.559998,148.389999,148.630005,145.748993,2145600
2017-06-19,149.320007,150.240005,148.789993,150.179993,147.268921,890200
2017-06-20,149.360001,150.289993,149.009995,149.600006,146.700195,1296400
2017-06-21,149.669998,149.949997,146.520004,146.610001,143.768143,2165200
2017-06-22,146.440002,146.639999,145.460007,146.190002,143.356277,1196200
2017-06-23,146.270004,146.580002,145.619995,145.779999,142.954224,1344600
2017-06-26,146.009995,146.300003,144.899994,145.339996,142.522751,837400
2017-06-27,144.710007,145.440002,142.160004,142.270004,139.512253,1702100
2017-06-28,142.759995,144.229996,142.279999,143.630005,141.492371,773900
2017-06-29,143.669998,143.800003,141.089996,141.619995,139.512253,1049800
2017-06-30,142.039993,143.929993,142.039993,143.250000,141.117996,1231700
2017-07-03,144.199997,144.809998,143.699997,144.110001,141.965210,469500
2017-07-05,144.389999,145.759995,144.149994,145.479996,143.314819,1079200
2017-07-06,145.029999,145.649994,144.050003,144.350006,142.201630,836900
2017-07-07,144.699997,146.979996,144.529999,146.059998,143.886169,989400
2017-07-10,145.619995,147.229996,145.619995,146.240005,144.063492,1088700
2017-07-11,146.210007,146.539993,144.710007,145.820007,143.649750,1085500
2017-07-12,146.779999,147.509995,146.020004,146.240005,144.063492,754300
2017-07-13,146.100006,146.119995,144.500000,144.699997,142.546417,1157200
2017-07-14,144.960007,145.960007,144.729996,145.699997,143.531540,911100
2017-07-17,145.429993,146.710007,144.960007,146.210007,144.033951,801400
2017-07-18,145.970001,146.789993,145.649994,146.639999,144.457550,907800
2017-07-19,146.949997,147.720001,146.440002,147.679993,145.482056,940700
2017-07-20,147.460007,147.720001,146.529999,147.119995,144.930389,1178600
2017-07-21,146.520004,147.889999,145.929993,147.289993,145.097870,1642700
2017-07-24,143.449997,143.869995,140.020004,141.979996,139.866898,3224800
2017-07-25,143.000000,143.570007,140.580002,141.649994,139.541809,2068700
2017-07-26,141.710007,141.830002,139.990005,140.070007,137.985336,1307300
2017-07-27,140.369995,140.850006,139.509995,140.820007,138.724167,1394600
2017-07-28,140.690002,141.070007,139.910004,140.830002,138.734024,1305900
2017-07-31,141.210007,141.720001,140.559998,140.710007,138.615814,1181200
2017-08-01,141.100006,141.339996,139.559998,139.910004,137.827713,1621300
2017-08-02,140.070007,141.770004,140.070007,141.770004,139.660034,1484700
2017-08-03,141.800003,141.839996,140.169998,141.429993,139.325073,1419300
2017-08-04,141.600006,143.059998,141.380005,142.880005,140.753510,1223300
2017-08-07,141.679993,142.509995,140.839996,141.669998,139.561508,1335600
2017-08-08,141.949997,141.949997,140.929993,141.339996,139.236420,1009500
2017-08-09,141.250000,141.779999,140.289993,140.729996,138.635498,1306600
2017-08-10,140.539993,140.850006,137.350006,137.470001,135.424026,2062200
2017-08-11,138.119995,138.919998,137.800003,138.360001,136.300766,964300
2017-08-14,139.559998,139.880005,138.860001,139.050003,136.980515,774600
2017-08-15,139.059998,139.710007,138.990005,139.089996,137.019913,1165000
2017-08-16,139.529999,140.190002,138.899994,140.029999,137.945923,1091400
2017-08-17,138.550003,138.949997,136.130005,136.190002,134.163086,1633300
2017-08-18,135.979996,137.509995,135.539993,135.669998,133.650818,1123700
2017-08-21,135.600006,136.039993,135.070007,135.600006,133.581863,1150600
2017-08-22,136.169998,138.080002,135.949997,137.869995,135.818069,918900
2017-08-23,137.190002,137.470001,136.440002,136.479996,134.448761,729000
2017-08-24,136.750000,136.910004,135.699997,135.869995,133.847824,740900
2017-08-25,136.710007,137.380005,136.440002,136.809998,134.773834,621700
2017-08-28,137.110001,137.490005,136.199997,136.529999,134.498001,591800
2017-08-29,135.869995,137.089996,135.199997,136.850006,134.813248,912100
2017-08-30,136.750000,137.220001,136.300003,136.940002,134.901932,1016900
2017-08-31,137.410004,137.770004,136.970001,137.509995,135.463425,867800
2017-09-01,138.000000,138.660004,137.589996,137.720001,135.670303,706700
2017-09-05,137.320007,137.789993,136.039993,136.449997,134.419205,1069800
2017-09-06,137.149994,137.399994,136.580002,136.899994,134.862503,1097300
2017-09-07,137.250000,138.710007,136.669998,138.130005,136.074203,1219400
2017-09-08,137.839996,140.410004,137.839996,140.039993,137.955765,1302900
2017-09-11,140.869995,141.529999,140.389999,141.520004,139.413757,1125300
2017-09-12,141.809998,142.860001,141.350006,142.850006,140.723969,810900
2017-09-13,142.490005,143.199997,142.139999,143.000000,140.871704,753200
2017-09-14,142.779999,145.470001,142.300003,145.070007,142.910919,1901400
2017-09-15,144.970001,145.830002,143.889999,145.639999,143.472427,1915700
2017-09-18,145.979996,147.039993,145.619995,146.940002,144.753067,712000
2017-09-19,147.100006,148.100006,146.899994,148.000000,145.797302,1025700
2017-09-20,148.130005,148.279999,147.270004,147.759995,145.560883,932000
2017-09-21,147.759995,148.100006,147.279999,147.339996,145.147125,825700
2017-09-22,147.350006,147.919998,147.139999,147.399994,145.206223,793200
2017-09-25,147.339996,147.559998,146.070007,147.070007,144.881165,1112100
2017-09-26,147.320007,147.630005,146.809998,147.089996,144.900848,617900
2017-09-27,147.630005,148.110001,146.869995,147.759995,145.560883,931600
2017-09-28,146.899994,147.600006,146.429993,147.199997,145.778748,697500
2017-09-29,146.949997,148.050003,146.619995,147.960007,146.531418,1006100
2017-10-02,147.960007,150.160004,147.960007,150.160004,148.710175,1180900
2017-10-03,150.210007,150.869995,149.580002,149.789993,148.343735,1586300
2017-10-04,149.779999,150.339996,149.470001,150.009995,148.561615,1376100
2017-10-05,150.080002,152.619995,149.820007,151.500000,150.037247,1336300
2017-10-06,151.100006,151.679993,150.729996,151.630005,150.165985,801000
2017-10-09,152.100006,152.250000,151.259995,151.699997,150.235306,750900
2017-10-10,152.500000,152.500000,151.380005,151.619995,150.156067,930200
2017-10-11,151.619995,151.649994,150.869995,151.440002,149.977814,974300
2017-10-12,151.259995,153.350006,151.039993,153.229996,151.750534,814700
2017-10-13,154.000000,154.380005,152.679993,152.820007,151.344498,702400
2017-10-16,153.470001,153.800003,153.020004,153.410004,151.928787,535800
2017-10-17,153.039993,153.389999,152.649994,153.070007,151.592087,725900
2017-10-18,153.240005,154.389999,152.740005,153.759995,152.275406,785500
2017-10-19,153.289993,153.750000,152.669998,153.479996,151.998108,876200
2017-10-20,154.339996,155.119995,153.830002,155.029999,153.533142,1477800
2017-10-23,149.350006,157.279999,148.440002,155.509995,154.008514,2293900
2017-10-24,156.630005,159.360001,156.000000,158.419998,156.890427,2129300
2017-10-25,158.169998,158.210007,156.050003,157.539993,156.018906,1621700
2017-10-26,158.669998,158.979996,157.429993,157.500000,155.979309,950400
2017-10-27,157.500000,159.119995,157.479996,159.059998,157.524246,1136500
2017-10-30,158.449997,158.860001,157.330002,157.350006,155.830750,979100
2017-10-31,157.589996,157.880005,156.500000,156.520004,155.008774,1015900
2017-11-01,156.960007,157.029999,154.970001,155.119995,153.622284,1725100
2017-11-02,155.419998,157.009995,154.690002,156.979996,155.464325,883900
2017-11-03,156.990005,157.589996,156.199997,157.300003,155.781235,1031300
2017-11-06,157.500000,158.229996,156.600006,157.990005,156.464569,1061700
2017-11-07,157.979996,158.419998,157.250000,157.830002,156.306122,570100
2017-11-08,157.289993,157.960007,157.119995,157.649994,156.127853,425800
2017-11-09,156.770004,156.830002,155.220001,156.350006,154.840424,1160300
2017-11-10,155.759995,157.419998,155.720001,157.139999,155.622772,757000
2017-11-13,156.289993,158.080002,156.059998,157.610001,156.088242,916800
2017-11-14,156.559998,158.679993,156.330002,158.539993,157.009262,1084100
2017-11-15,157.830002,157.830002,155.360001,155.850006,154.345245,918500
2017-11-16,156.119995,158.429993,155.839996,157.919998,156.395248,839500
2017-11-17,156.970001,157.649994,156.479996,157.139999,155.622772,793200
2017-11-20,157.539993,159.589996,157.050003,158.850006,157.316284,713800
2017-11-21,159.089996,159.960007,159.009995,159.460007,157.920380,851700
2017-11-22,159.300003,159.869995,158.360001,159.619995,158.078827,744700
2017-11-24,160.000000,160.470001,159.649994,159.839996,158.296707,346200
2017-11-27,160.080002,161.100006,159.850006,160.820007,159.267258,759600
2017-11-28,161.250000,164.539993,160.759995,164.479996,162.891907,1609800
2017-11-29,164.500000,166.059998,163.279999,165.880005,164.278397,1455600
2017-11-30,166.330002,169.520004,165.869995,169.250000,167.615860,2090300
2017-12-01,169.309998,169.690002,162.559998,164.869995,163.278152,1913600
2017-12-04,166.899994,168.899994,166.050003,166.220001,164.615112,2221600
2017-12-05,167.029999,167.500000,164.850006,165.020004,163.426697,1118400
2017-12-06,166.520004,167.270004,165.110001,166.300003,164.694336,978500
2017-12-07,165.910004,167.750000,165.910004,166.490005,164.882507,872400
2017-12-08,166.289993,166.990005,166.050003,166.490005,164.882507,1178700
2017-12-11,167.399994,167.570007,164.410004,165.029999,163.436600,1844600
2017-12-12,165.339996,165.639999,163.740005,163.880005,162.297714,1481300
2017-12-13,164.110001,165.220001,163.440002,163.820007,162.238281,2143100
2017-12-14,164.369995,164.970001,162.589996,162.649994,161.079575,979400
2017-12-15,164.009995,165.710007,163.550003,165.169998,163.575241,1985400
2017-12-18,165.669998,166.570007,165.479996,166.059998,164.456665,1330000
2017-12-19,166.929993,167.869995,166.070007,167.460007,165.843140,1004100
2017-12-20,167.949997,168.889999,167.630005,168.550003,166.922623,1057500
2017-12-21,169.000000,169.199997,167.779999,168.259995,166.635406,829500
2017-12-22,168.830002,168.830002,166.949997,167.130005,165.516327,623400
2017-12-26,167.520004,168.139999,166.699997,167.100006,165.486618,524000
2017-12-27,167.100006,167.250000,166.309998,167.130005,165.516327,1215900
2017-12-28,167.110001,167.110001,166.240005,166.710007,165.874527,866800
2017-12-29,167.460007,167.559998,166.649994,166.850006,166.013824,724300
2018-01-02,167.309998,167.490005,164.649994,165.270004,164.441742,1281100
2018-01-03,164.839996,166.139999,163.919998,165.960007,165.128296,1547300
2018-01-04,165.000000,166.919998,164.509995,166.149994,165.317322,1392200
